"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"2302","麗正國際科技股份有限公司","半導體業","-0.18","新台幣                 10.0000元","317810.00","-22834.00","-6790.00","-29545.00",
"2303","聯華電子股份有限公司","半導體業","0.64","新台幣                 10.0000元","112654032.00","4667474.00","1381789.00","5438574.00",
"2305","全友電腦股份有限公司","電腦及週邊設備業","2.77","新台幣                 10.0000元","454034.00","-121757.00","927239.00","565421.00",
"2308","台達電子工業股份有限公司","電子零組件業","5.24","新台幣                 10.0000元","162220465.00","13986205.00","3385134.00","13851344.00",
"2311","日月光半導體製造股份有限公司","半導體業","2.08","新台幣                 10.0000元","206455154.00","17511940.00","5537799.00","17873746.00",
"2312","金寶電子工業股份有限公司","其他電子業","0.35","新台幣                 10.0000元","87773352.00","1126648.00","-100765.00","799292.00",
"2313","華通電腦股份有限公司","電子零組件業","1.95","新台幣                 10.0000元","37018586.00","3720210.00","-485545.00","2326856.00",
"2314","台揚科技股份有限公司","通信網路業","0.66","新台幣                 10.0000元","5599900.00","171605.00","4721.00","144090.00",
"2316","楠梓電子股份有限公司","電子零組件業","-0.19","新台幣                 10.0000元","4015899.00","-46107.00","-2852.00","-53105.00",
"2317","鴻海精密工業股份有限公司","其他電子業","3.87","新台幣                 10.0000元","2976347954.00","80157064.00","7079561.00","63791372.00",
"2321","東訊股份有限公司","通信網路業","-0.13","新台幣                 10.0000元","2464749.00","-48075.00","7766.00","-40375.00",
"2323","中環股份有限公司","光電業","-0.45","新台幣                 10.0000元","6779732.00","-1021669.00","273659.00","-809507.00",
"2324","仁寶電腦工業股份有限公司","電腦及週邊設備業","0.84","新台幣                 10.0000元","632816467.00","6762135.00","-1234536.00","3972036.00",
"2325","矽品精密工業股份有限公司","半導體業","1.74","新台幣                 10.0000元","61931600.00","6355197.00","414741.00","5411176.00",
"2327","國巨股份有限公司","電子零組件業","8.07","新台幣                 10.0000元","22607120.00","4211138.00","87476.00","3657383.00",
"2328","廣宇科技股份有限公司","電子零組件業","0.97","新台幣                 10.0000元","18879796.00","672555.00","88859.00","578773.00",
"2329","華泰電子股份有限公司","半導體業","-0.51","新台幣                 10.0000元","10322716.00","-504357.00","40401.00","-413631.00",
"2330","台灣積體電路製造股份有限公司","半導體業","9.40","新台幣                 10.0000元","699876957.00","276664224.00","7793906.00","243840788.00",
"2331","精英電腦股份有限公司","電腦及週邊設備業","0.81","新台幣                 10.0000元","22343991.00","453831.00","198047.00","453975.00",
"2332","友訊科技股份有限公司","通信網路業","-0.41","新台幣                 10.0000元","14308921.00","-471507.00","209688.00","-264614.00",
